Year,Country,Flow,Partner,HS_Code,Value
2000,Indonesia,Export,World,306,1056601976.0
2001,Indonesia,Export,World,306,1008268131.0
2002,Indonesia,Export,World,306,920077804.0
2003,Indonesia,Export,World,306,933434524.0
2004,Indonesia,Export,World,306,905760333.0
2005,Indonesia,Export,World,306,935331018.0
2006,Indonesia,Export,World,306,1067782393.0
2007,Indonesia,Export,World,306,992859613.0
2008,Indonesia,Export,World,306,1070920596.0
2009,Indonesia,Export,World,306,845222717.0
2010,Indonesia,Export,World,306,939851677.0
2011,Indonesia,Export,World,306,1161656823.0
2022,Indonesia,Export,World,306,1648144048.611
2023,Indonesia,Export,World,306,1301818305.166
2024,Indonesia,Export,World,306,1367772721.951
2012,Indonesia,Export,World,306,1206543778.0
2013,Indonesia,Export,World,306,1481284313.0
2014,Indonesia,Export,World,306,1815229830.0
2015,Indonesia,Export,World,306,1356322507.0
2016,Indonesia,Export,World,306,1464398670.0
2017,Indonesia,Export,World,306,1689016441.58
2018,Indonesia,Export,World,306,1574129505.09
2019,Indonesia,Export,World,306,1428656051.778
2020,Indonesia,Export,World,306,1606471181.153
2021,Indonesia,Export,World,306,1711568022.463
2000,Indonesia,Export,World,304,58998179.0
2001,Indonesia,Export,World,304,76826910.0
2002,Indonesia,Export,World,304,101219522.0
2003,Indonesia,Export,World,304,114783384.0
2004,Indonesia,Export,World,304,115185713.0
2005,Indonesia,Export,World,304,131799761.0
2006,Indonesia,Export,World,304,121178914.0
2007,Indonesia,Export,World,304,154889462.0
2008,Indonesia,Export,World,304,206083181.0
2009,Indonesia,Export,World,304,207295178.0
2010,Indonesia,Export,World,304,256235412.0
2011,Indonesia,Export,World,304,302133211.0
2012,Indonesia,Export,World,304,423212909.0
2013,Indonesia,Export,World,304,384057906.0
2014,Indonesia,Export,World,304,413554841.0
2015,Indonesia,Export,World,304,430697168.0
2016,Indonesia,Export,World,304,427299341.0
2017,Indonesia,Export,World,304,445888079.06
2018,Indonesia,Export,World,304,518074104.42
2019,Indonesia,Export,World,304,540041328.116
2020,Indonesia,Export,World,304,563401994.877
2021,Indonesia,Export,World,304,648455198.482
2022,Indonesia,Export,World,304,867172106.096
2023,Indonesia,Export,World,304,748119495.782
2024,Indonesia,Export,World,304,799178641.206
2000,Indonesia,Export,World,303,90888994.0
2001,Indonesia,Export,World,303,90352403.0
2002,Indonesia,Export,World,303,105545779.0
2003,Indonesia,Export,World,303,148849701.0
2004,Indonesia,Export,World,303,153098282.0
2005,Indonesia,Export,World,303,140295200.0
2006,Indonesia,Export,World,303,150402418.0
2007,Indonesia,Export,World,303,186057852.0
2008,Indonesia,Export,World,303,250596268.0
2009,Indonesia,Export,World,303,228072250.0
2010,Indonesia,Export,World,303,326224030.0
2011,Indonesia,Export,World,303,421822538.0
2012,Indonesia,Export,World,303,519856248.0
2013,Indonesia,Export,World,303,466889422.0
2014,Indonesia,Export,World,303,407527968.0
2015,Indonesia,Export,World,303,329170046.0
2016,Indonesia,Export,World,303,388913001.0
2017,Indonesia,Export,World,303,471559937.98
2018,Indonesia,Export,World,303,381244809.62
2019,Indonesia,Export,World,303,427326907.062
2020,Indonesia,Export,World,303,532050024.482
2021,Indonesia,Export,World,303,432472281.104
2022,Indonesia,Export,World,303,455267865.984
2023,Indonesia,Export,World,303,514666034.259
2024,Indonesia,Export,World,303,650605701.723
2000,Viet Nam,Export,World,306,837028000.0
2001,Viet Nam,Export,World,306,1047040284.0
2002,Viet Nam,Export,World,306,1187237774.0
2003,Viet Nam,Export,World,306,1369007864.0
2004,Viet Nam,Export,World,306,1362598824.0
2005,Viet Nam,Export,World,306,1408085692.0
2006,Viet Nam,Export,World,306,1421035051.0
2007,Viet Nam,Export,World,306,1440225881.0
2008,Viet Nam,Export,World,306,1407074081.0
2009,Viet Nam,Export,World,306,1397365085.0
2010,Viet Nam,Export,World,306,1608770102.0
2011,Viet Nam,Export,World,306,1745999176.0
2022,Viet Nam,Export,World,306,2651134987.354
2023,Viet Nam,Export,World,306,2141068516.258
2012,Viet Nam,Export,World,306,1592933416.0
2013,Viet Nam,Export,World,306,2052906582.0
2014,Viet Nam,Export,World,306,2553754261.0
2015,Viet Nam,Export,World,306,1805823942.0
2016,Viet Nam,Export,World,306,1918834445.67
2017,Viet Nam,Export,World,306,2450280485.6
2018,Viet Nam,Export,World,306,2122949458.74
2019,Viet Nam,Export,World,306,2107349387.6
2020,Viet Nam,Export,World,306,2258012196.087
2021,Viet Nam,Export,World,306,2431291418.657
2000,Viet Nam,Export,World,304,43070000.0
2001,Viet Nam,Export,World,304,60435120.0
2002,Viet Nam,Export,World,304,96001734.0
2003,Viet Nam,Export,World,304,138108643.0
2004,Viet Nam,Export,World,304,300247792.0
2005,Viet Nam,Export,World,304,515093820.0
2006,Viet Nam,Export,World,304,954343533.0
2007,Viet Nam,Export,World,304,1246121563.0
2008,Viet Nam,Export,World,304,1855770523.0
2009,Viet Nam,Export,World,304,1621994002.0
2010,Viet Nam,Export,World,304,1823215735.0
2011,Viet Nam,Export,World,304,2348690878.0
2012,Viet Nam,Export,World,304,2415703766.0
2013,Viet Nam,Export,World,304,2262111414.0
2014,Viet Nam,Export,World,304,2415085853.0
2015,Viet Nam,Export,World,304,2234064499.0
2016,Viet Nam,Export,World,304,2368327280.72
2017,Viet Nam,Export,World,304,2495068496.3
2018,Viet Nam,Export,World,304,3068225659.69
2019,Viet Nam,Export,World,304,2908073723.45
2020,Viet Nam,Export,World,304,2340289235.006
2021,Viet Nam,Export,World,304,2626314854.497
2022,Viet Nam,Export,World,304,3726956279.46
2023,Viet Nam,Export,World,304,2780161859.572
2000,Viet Nam,Export,World,303,98573000.0
2001,Viet Nam,Export,World,303,125567801.0
2002,Viet Nam,Export,World,303,170008447.0
2003,Viet Nam,Export,World,303,118850966.0
2004,Viet Nam,Export,World,303,121523814.0
2005,Viet Nam,Export,World,303,67558755.0
2006,Viet Nam,Export,World,303,91492435.0
2007,Viet Nam,Export,World,303,100587199.0
2008,Viet Nam,Export,World,303,86024038.0
2009,Viet Nam,Export,World,303,108098329.0
2010,Viet Nam,Export,World,303,149409976.0
2011,Viet Nam,Export,World,303,176565308.0
2012,Viet Nam,Export,World,303,202922641.0
2013,Viet Nam,Export,World,303,221971741.0
2014,Viet Nam,Export,World,303,246615565.0
2015,Viet Nam,Export,World,303,308877796.0
2016,Viet Nam,Export,World,303,373927797.62
2017,Viet Nam,Export,World,303,450097546.8
2018,Viet Nam,Export,World,303,389981963.03
2019,Viet Nam,Export,World,303,377601144.64
2020,Viet Nam,Export,World,303,323106317.359
2021,Viet Nam,Export,World,303,395269131.344
2022,Viet Nam,Export,World,303,479948489.225
2023,Viet Nam,Export,World,303,485948508.129
